Xa1,Xb1,Xc1,Xd1,Ya1,Yb1,Yc1,Yd1,Time
7129.739609,265.596344,10.271706,1775.497570,8017.832118,75.438645,10.273048,2727.882262,17:42:31
7119.863968,265.595986,10.312035,1760.400855,8030.147408,75.398718,10.287744,2703.696154,17:42:37
7108.051233,265.622551,10.289276,1764.316581,8021.596695,75.464215,10.275400,2709.156892,17:43:23
7106.947631,265.605628,10.303265,1767.261660,8011.313773,75.420276,10.296590,2713.965876,17:43:36
7121.335270,265.565028,10.340098,1782.483893,8050.333614,75.438758,10.331972,2735.916771,17:43:40
7052.024321,265.653457,10.385224,1767.166828,8028.212553,75.419553,10.253468,2715.155220,17:43:52
7118.877826,265.650545,10.248462,1750.208629,7989.993627,75.411999,10.297299,2686.740704,17:43:53
7131.349752,265.677593,10.305234,1764.447824,8020.279799,75.459625,10.357111,2707.269284,17:43:54
7038.572759,265.631552,10.403788,1746.508009,8015.368977,75.479767,10.228992,2684.959107,17:44:06
7048.457401,265.618703,10.381145,1757.749159,7999.255130,75.437108,10.252248,2702.083774,17:45:03
7041.752667,265.626605,10.366572,1744.192542,8009.001696,75.468646,10.215592,2680.904463,17:45:06
7089.624402,265.564031,10.381186,1757.236151,8055.374832,75.477345,10.261034,2699.689408,17:45:40
7058.196784,265.589613,10.409260,1766.632136,8039.532921,75.433476,10.253812,2715.148555,17:45:42
6958.549017,265.583746,10.550700,1744.512384,8042.881522,75.547690,10.161738,2685.081804,17:45:46
7077.552469,265.599335,10.320623,1753.139466,8003.141216,75.436593,10.274580,2692.323967,17:46:59
7116.822607,265.630859,10.261880,1762.516123,7995.762829,75.443961,10.357661,2702.713028,17:47:02
7090.735916,265.575272,10.346092,1765.706487,8054.744264,75.453483,10.260155,2711.394377,17:47:13
7069.578710,265.608368,10.313369,1749.961725,8003.901517,75.433450,10.266063,2686.791073,17:47:14
7098.632532,265.594746,10.317750,1763.992391,8017.459803,75.482796,10.290185,2708.858740,17:47:23
7164.341781,265.602507,10.197582,1766.844693,7997.964795,75.434777,10.330169,2711.152790,17:47:24
7090.060503,265.564156,10.261022,1762.387339,8005.891703,75.478964,10.222559,2707.566155,17:53:25
7065.837839,265.584873,10.304090,1760.650765,8020.374917,75.438951,10.231525,2703.640391,17:53:28
7079.081714,265.574174,10.332631,1770.687250,8025.362759,75.441441,10.294597,2717.846866,17:53:37
7052.592661,265.583067,10.393849,1756.426526,8031.715883,75.514323,10.250084,2698.673693,17:55:34
7113.604001,265.647973,10.219919,1755.548949,7962.650329,75.465026,10.314858,2694.307286,17:55:38
7120.433864,265.602846,10.323990,1770.444345,8025.387002,75.469018,10.354006,2716.656201,17:56:01
7093.515862,265.619915,10.304487,1743.985440,8032.561709,75.461411,10.263542,2676.731171,17:56:57
7046.931688,265.568309,10.336804,1736.569242,8007.057074,75.403080,10.199003,2668.882493,17:57:00
7046.931688,265.568309,10.336804,1736.569242,8007.057074,75.403080,10.199003,2668.882493,17:57:00
7131.051367,265.611034,10.190556,1742.192394,7987.966105,75.401705,10.326503,2670.488782,17:57:00
7093.575260,265.643592,10.272273,1739.709268,7987.189254,75.468650,10.310416,2669.009088,17:57:01
7130.341848,265.599900,10.266942,1748.506009,8022.291304,75.486714,10.335217,2681.246252,17:57:01
7120.910354,265.599217,10.274898,1756.519592,8003.777713,75.467089,10.319107,2695.892518,17:57:01
7151.969923,265.571978,10.230519,1759.881368,8015.351352,75.479512,10.340383,2699.089476,17:57:02
7086.237489,265.614251,10.282369,1756.969128,8004.915191,75.487856,10.285799,2696.248198,17:57:02
7088.126158,265.609274,10.286549,1754.198451,8010.480004,75.487357,10.242942,2694.322136,17:57:03
7077.298516,265.588413,10.323089,1754.130892,8010.167123,75.460146,10.247469,2695.045090,17:57:03
7094.684020,265.573993,10.304058,1749.787674,8001.388184,75.442093,10.278741,2687.368645,17:57:03
32097.024648,230.379089,180.716596,20939.626780,115064.557850,100.676983,240.636475,-36419.218446,17:58:02
7106.586647,265.587931,10.323402,1758.303202,8011.901960,75.452488,10.289759,2701.233373,17:58:03
7106.586647,265.587931,10.323402,1758.303202,8011.901960,75.452488,10.289759,2701.233373,17:58:04
7075.639115,265.618121,10.312070,1754.645363,8007.493704,75.492822,10.229274,2696.421350,17:58:04
7067.837316,265.624282,10.326301,1765.099313,8006.840028,75.472081,10.245106,2712.147447,17:58:04
7053.496587,265.613658,10.375367,1764.927569,8006.299184,75.445349,10.262544,2712.341509,17:58:05
7115.653732,265.620513,10.258735,1770.109651,7994.480757,75.461255,10.310309,2717.260218,17:58:05
7114.865855,265.619812,10.268335,1769.907237,7992.661132,75.466726,10.304005,2717.881322,17:58:05
7078.131804,265.622099,10.326219,1760.720709,8007.805290,75.461464,10.261181,2705.017532,17:58:06
7067.822698,265.634879,10.333106,1753.279043,8011.103870,75.481618,10.254321,2693.039766,17:58:06
7154.737828,265.628176,10.169633,1752.211946,7979.056036,75.488213,10.325311,2687.660659,17:58:06
7094.541118,265.595949,10.325941,1752.799225,8022.573771,75.465808,10.323655,2689.025891,17:58:07
7148.375478,265.614884,10.175155,1741.890879,7991.329763,75.480860,10.265923,2673.761340,17:58:07
7110.041100,265.632757,10.263188,1749.838666,7978.200413,75.470826,10.327296,2685.404853,17:58:08
7062.280079,265.615639,10.360972,1749.343370,8001.943287,75.489671,10.279924,2687.053530,17:58:08
7042.267172,265.614501,10.363966,1756.635436,7987.651183,75.479210,10.248257,2700.081187,17:58:08
7094.300041,265.575263,10.355153,1783.205708,8039.163177,75.491862,10.358115,2735.109626,17:58:09
7110.984004,265.674860,10.208078,1766.743491,7961.138873,75.486311,10.311361,2711.434230,17:58:09
7105.249920,265.676012,10.245688,1767.678622,7986.793750,75.451903,10.279686,2714.338002,17:58:09
7001.562038,265.652329,10.382117,1753.772107,7989.952669,75.499083,10.166243,2698.022451,17:58:10
7088.037835,265.636817,10.330843,1764.771725,8022.426771,75.461331,10.301631,2708.926952,17:58:10
7093.862238,265.634384,10.270494,1753.652327,7985.734306,75.495201,10.262672,2693.760613,17:58:10
7135.177444,265.643544,10.216887,1747.933208,7988.538367,75.437747,10.284601,2683.582324,17:58:11
7090.082951,265.629232,10.263085,1740.448956,7979.833714,75.494504,10.275677,2672.004048,17:58:11
7119.753716,265.639101,10.232470,1739.432307,7977.499509,75.487104,10.257706,2672.248399,17:58:11
7088.952442,265.583167,10.328652,1740.940423,8039.780179,75.490789,10.247328,2673.250626,17:58:12
7146.172469,265.626057,10.201009,1752.131127,7973.617601,75.438846,10.359305,2686.968403,17:58:12
7092.774971,265.602448,10.286262,1754.471512,8005.963343,75.481846,10.262567,2694.279186,17:58:13
7071.512911,265.607611,10.332520,1758.624786,8027.445781,75.479355,10.215148,2702.766539,17:58:13
7076.884179,265.601895,10.329796,1764.892498,8009.405863,75.465030,10.289842,2709.886428,17:58:13
7036.464358,265.614181,10.362869,1759.063233,8000.032408,75.486967,10.205311,2704.983088,17:58:14
7059.926264,265.615047,10.362882,1758.406727,8005.768786,75.456793,10.257012,2702.284725,17:58:14
7041.850680,265.616922,10.401360,1764.385248,8000.231433,75.468045,10.281408,2711.295966,17:58:14
7085.093676,265.626979,10.332549,1763.494372,8017.412859,75.472420,10.286348,2708.048803,17:58:15
7077.923107,265.629169,10.313166,1750.610208,7991.248277,75.472566,10.285844,2688.221666,17:58:15
7064.537376,265.577266,10.386790,1746.883133,8054.437479,75.448818,10.282091,2680.629723,17:58:15
7088.438347,265.616312,10.302175,1739.320821,8006.871373,75.480022,10.287827,2669.393910,17:58:16
7126.991869,265.623372,10.242085,1743.683025,7974.827789,75.474651,10.325952,2676.219355,17:58:16
7058.237514,265.612762,10.359248,1745.428803,8007.598202,75.458784,10.250576,2681.785127,17:58:16
7140.972714,265.642783,10.188668,1756.295777,7965.675730,75.421063,10.348134,2693.741168,17:58:17
7062.997559,265.634703,10.349179,1757.492992,7983.318280,75.441051,10.284061,2700.479030,17:58:17
7067.817185,265.604368,10.328738,1763.007736,8016.035310,75.466034,10.253296,2707.818147,17:58:18
7029.532885,265.611785,10.407876,1768.129783,8022.835244,75.457811,10.242760,2717.155212,17:58:18
7047.539493,265.649423,10.345509,1762.309134,7998.699329,75.445507,10.229614,2708.723059,17:58:18
7000.628294,265.599454,10.482643,1756.222169,8057.407835,75.490202,10.172258,2701.586426,17:58:19
7018.332455,265.626778,10.429496,1755.623726,8016.056673,75.472174,10.229904,2698.981957,17:58:19
7043.570199,265.623845,10.400914,1751.426553,8009.433783,75.453571,10.261086,2691.504169,17:58:19
7109.936863,265.622502,10.291532,1753.283226,7993.362441,75.479048,10.361430,2689.162502,17:58:20
7109.570180,265.640737,10.263170,1741.804280,7982.622544,75.479988,10.289247,2674.599143,17:58:20
7122.917600,265.620980,10.233696,1747.810290,7982.748074,75.452923,10.336840,2680.752056,17:58:20
7093.083041,265.581365,10.320344,1747.966034,8015.361596,75.436795,10.282492,2683.959383,17:58:21
7082.395692,265.596935,10.311642,1755.777835,7995.517038,75.426083,10.269988,2697.212987,17:58:21
7081.439026,265.635995,10.302196,1762.220688,7989.528186,75.437002,10.274642,2706.971612,17:58:21
7077.708798,265.630164,10.306357,1761.785556,7972.479348,75.501226,10.284470,2706.924901,17:58:22
7074.150657,265.633596,10.324822,1768.164391,7993.157505,75.460594,10.307911,2714.740331,17:58:22
7111.253524,265.569860,10.328817,1767.723398,8009.961448,75.439948,10.329327,2714.531083,17:58:22
7099.631925,265.593432,10.295577,1763.022996,7987.505846,75.452836,10.311345,2707.275744,17:58:23
7095.301181,265.623169,10.263173,1755.875978,7980.215824,75.481550,10.269073,2697.030485,17:58:23
7099.578283,265.617319,10.268740,1751.444045,7997.555017,75.508966,10.295609,2687.826593,17:58:24
7129.923411,265.657083,10.193252,1742.622868,7947.502460,75.447773,10.335884,2673.716097,17:58:24
7070.886594,265.621625,10.282311,1737.181382,7935.750485,75.455283,10.299250,2668.349646,17:58:24
7050.287524,265.587637,10.393256,1747.962666,7994.144376,75.440928,10.328201,2683.410306,17:58:25
7112.215911,265.609682,10.245820,1750.113103,7977.730108,75.452219,10.334922,2684.694958,17:58:25
7091.925075,265.616362,10.325988,1759.065600,7994.261716,75.441801,10.325055,2700.735825,17:58:25
7029.840616,265.577131,10.464087,1760.978555,8041.536915,75.457648,10.236063,2707.794271,17:58:26
7110.417257,265.635195,10.267718,1764.409151,7991.103926,75.483983,10.298066,2709.326272,17:58:26
7094.190347,265.583192,10.319227,1764.699866,8013.228477,75.482022,10.292275,2709.909920,17:58:26
7087.017678,265.588539,10.337338,1768.852696,7995.218458,75.464296,10.331665,2715.899036,17:58:27
7086.882483,265.580046,10.321544,1760.258617,8004.216070,75.473940,10.257869,2705.166210,17:58:27
7066.927785,265.645931,10.323345,1755.629715,7981.775081,75.475140,10.275943,2697.101909,17:58:27
7073.831557,265.670981,10.337487,1751.044715,8006.270337,75.449568,10.287825,2688.611094,17:58:28
7026.484572,265.628849,10.368620,1744.012939,7998.551132,75.429550,10.247670,2678.488303,17:58:28
7055.713478,265.566059,10.377748,1744.681379,8040.551598,75.533660,10.217569,2680.841167,17:58:29
7103.148782,265.669615,10.247216,1742.095088,7989.291017,75.495709,10.286962,2673.389092,17:58:29
7075.814155,265.652560,10.321571,1742.350160,8000.595483,75.462062,10.284520,2674.874765,17:58:29
7045.317525,265.606221,10.401283,1750.822854,8024.985197,75.450049,10.263906,2689.381398,17:58:30
7081.417957,265.540077,10.383335,1763.025291,8038.990136,75.460048,10.259254,2709.617080,17:58:30
7075.724760,265.584910,10.392139,1769.544463,8030.422613,75.535399,10.289598,2718.768238,17:58:30
7069.271988,265.612643,10.274216,1765.938815,7987.247504,75.477675,10.261629,2711.400936,17:58:31
7067.226988,265.597628,10.362087,1767.664163,8025.598108,75.501484,10.257573,2715.852461,17:58:31
7069.846550,265.606664,10.357165,1763.498980,8013.542610,75.453728,10.276126,2709.060090,17:58:31
7101.198739,265.634398,10.334422,1760.003416,8014.629236,75.480641,10.304302,2703.023027,17:58:32
7083.815197,265.632297,10.327661,1752.327119,7984.867240,75.460122,10.293357,2692.151971,17:58:32
7086.956428,265.617706,10.338832,1746.160937,8012.689709,75.433212,10.285929,2681.610564,17:58:32
7109.017414,265.624537,10.264089,1738.099778,7996.464204,75.461056,10.280118,2668.271102,17:58:33
7125.449352,265.650155,10.218267,1742.515866,7984.378899,75.495127,10.306465,2673.448742,17:58:33
7097.030778,265.640670,10.297010,1744.706432,8013.806437,75.483020,10.272593,2678.614925,17:58:33
7100.189367,265.615715,10.268162,1745.353311,7995.833643,75.441931,10.257618,2680.592267,17:58:34
7090.837343,265.647894,10.264389,1754.888774,7988.504123,75.442463,10.261952,2695.001670,17:58:34
7097.819554,265.649605,10.293795,1762.493016,8002.503229,75.462419,10.297638,2705.887733,17:58:35
7108.232232,265.643716,10.292393,1765.598958,8009.345063,75.473395,10.296067,2711.061598,17:58:35
7054.012160,265.634098,10.351293,1768.358604,8020.977124,75.476151,10.239312,2716.805853,17:58:35
7088.235408,265.615353,10.341734,1764.869527,8031.603577,75.497717,10.255169,2711.680456,17:58:36
7070.467363,265.625744,10.328432,1754.271607,8003.594322,75.503980,10.265561,2694.466156,17:58:36
7089.155263,265.608706,10.308981,1752.543201,8006.358431,75.499941,10.269285,2691.723763,17:58:36
7068.870406,265.629068,10.354577,1747.671751,8034.545408,75.473491,10.230477,2685.041822,17:58:37
7060.001348,265.590374,10.389949,1742.583573,8037.095144,75.483848,10.246686,2677.045335,17:58:37
7085.297989,265.603363,10.296497,1738.900645,8013.838587,75.499994,10.266318,2668.936828,17:58:37
7095.930863,265.639299,10.301687,1744.014384,7998.454103,75.475612,10.286237,2678.037436,17:58:38
7093.310912,265.627243,10.296740,1746.433721,8004.629276,75.480307,10.268906,2681.940350,17:58:38
7126.535171,265.630079,10.246156,1757.789452,7998.299547,75.462519,10.311783,2697.659004,17:58:38
7101.981040,265.620992,10.295672,1759.309266,8002.483301,75.480362,10.278903,2702.375877,17:58:39
7092.951064,265.622928,10.275668,1760.744885,8003.944621,75.505667,10.235579,2705.338980,17:58:39
7060.532192,265.632823,10.326949,1764.699820,8017.444090,75.495034,10.221404,2711.595180,17:58:39
7065.659747,265.611319,10.350103,1769.554456,8010.306160,75.463436,10.246934,2719.852795,17:58:40
7084.099335,265.614267,10.335561,1770.073502,8023.959080,75.461859,10.286426,2717.989524,17:58:40
7089.993986,265.656966,10.298302,1759.740787,7989.620765,75.460992,10.283764,2702.972166,17:58:41
7101.586594,265.597684,10.315712,1757.085174,8009.814933,75.461536,10.277026,2699.441699,17:58:41
7107.163292,265.632335,10.278915,1752.287201,7999.815251,75.472637,10.282015,2690.865558,17:58:41
7080.359190,265.653994,10.313830,1744.964716,8003.139705,75.467031,10.292114,2678.300604,17:58:42
7071.154281,265.613155,10.353193,1744.844758,8002.818956,75.492012,10.282923,2680.002317,17:58:42
