Xa1,Xb1,Xc1,Xd1,Ya1,Yb1,Yc1,Yd1,Time
7059.647890,265.604680,10.343939,1737.990420,8008.339829,75.451720,10.233731,2670.324588,17:58:42
7051.903688,265.627572,10.352657,1744.365483,8013.326388,75.469683,10.206298,2681.448297,17:58:43
7046.634513,265.625135,10.359914,1747.579151,8009.429020,75.478166,10.231653,2685.294859,17:58:43
7060.941807,265.631418,10.331045,1756.593680,8012.605990,75.484343,10.245901,2698.012205,17:58:43
7070.291876,265.641257,10.326968,1763.546498,8003.020735,75.462890,10.258330,2709.437449,17:58:44
7108.944802,265.624251,10.294531,1772.401188,8007.920429,75.478757,10.320262,2720.629540,17:58:44
7105.442793,265.634041,10.284636,1772.514535,8000.171497,75.472587,10.301567,2721.702660,17:58:44
7065.480787,265.623654,10.355049,1765.716784,8003.146945,75.449770,10.294758,2711.806181,17:58:45
7130.590500,265.616609,10.296246,1773.290187,8015.324213,75.434519,10.371693,2720.186531,17:58:45
7077.022624,265.644870,10.324642,1759.619356,7983.751789,75.452657,10.311541,2701.992269,17:58:45
7129.020281,265.630842,10.231460,1750.639852,7996.959364,75.468064,10.285349,2687.467110,17:58:46
7130.750661,265.623827,10.235296,1747.944925,7978.785297,75.446579,10.347080,2681.333209,17:58:46
7114.023299,265.622725,10.228433,1741.976157,7972.771524,75.466402,10.321284,2672.287409,17:58:47
7099.709723,265.607887,10.286854,1740.151513,8000.673787,75.460759,10.300268,2670.494701,17:58:47
7028.583844,265.597905,10.423241,1745.541470,8011.391928,75.476142,10.226850,2684.096492,17:58:47
7058.247829,265.604244,10.348757,1745.538316,8029.158397,75.503437,10.202933,2682.593741,17:58:48
7051.640765,265.605524,10.393083,1754.476295,8013.796160,75.475252,10.244637,2697.144722,17:58:48
7099.994742,265.624925,10.291965,1761.535583,8002.193893,75.480091,10.296265,2704.552182,17:58:48
7090.888706,265.611660,10.319981,1769.381916,8010.446884,75.496636,10.284085,2717.754294,17:58:49
7121.973463,265.606069,10.262274,1771.235736,8005.059287,75.463688,10.310906,2718.859434,17:58:49
7122.667571,265.620852,10.237071,1762.820526,7983.182307,75.475954,10.292598,2707.063830,17:58:49
7184.895629,265.614029,10.149203,1760.747264,7980.320502,75.503061,10.322266,2702.336618,17:58:50
7165.518067,265.604892,10.234472,1766.196796,8024.306971,75.446165,10.357998,2708.541660,17:58:50
7142.182129,265.645570,10.180306,1747.407781,7962.859843,75.486437,10.291696,2682.885430,17:58:50
7118.013598,265.623083,10.255829,1747.484024,7993.220839,75.477290,10.285142,2683.233883,17:58:51
7137.160778,265.616367,10.238696,1748.938914,7994.020605,75.459796,10.371491,2680.987721,17:58:51
7159.682257,265.630142,10.154677,1745.153771,7973.700678,75.456191,10.357118,2674.699484,17:58:52
7157.153342,265.650726,10.139727,1738.388588,7942.327132,75.461734,10.305824,2668.408662,17:58:52
7134.657592,265.639714,10.173719,1746.717882,7930.547686,75.409903,10.404448,2676.821965,17:58:52
7122.855293,265.596788,10.268345,1753.072498,7982.742142,75.442115,10.368956,2688.959838,17:58:53
7182.972523,265.581254,10.217118,1766.864310,8000.687890,75.457105,10.400786,2709.274667,17:58:53
7100.415848,265.609220,10.286725,1758.241981,7987.469860,75.492979,10.282676,2701.019751,17:58:53
7094.519229,265.603987,10.312814,1769.928047,7998.121528,75.470001,10.314009,2717.698796,17:58:54
7124.288118,265.592973,10.297183,1771.603157,8000.043938,75.463443,10.341968,2719.987319,17:58:54
7051.700635,265.600030,10.388275,1765.723654,8027.270078,75.514538,10.246895,2713.469393,17:58:55
7084.837801,265.620263,10.319863,1761.351100,7978.129664,75.489367,10.305702,2705.817377,17:58:55
7043.120756,265.583468,10.423492,1757.112562,8031.885821,75.486164,10.260480,2699.935642,17:58:55
7079.322685,265.630732,10.325310,1737.714477,7995.768853,75.484494,10.307944,2667.034673,17:58:56
7129.329742,265.566506,10.287024,1813.322830,7988.186760,75.490525,10.324266,2787.413469,17:58:56
7114.937737,265.606097,10.304518,1894.173873,7991.846947,75.489690,10.282064,2916.658656,17:58:56
7055.618870,265.621793,10.309130,1980.636736,7954.765968,75.540306,10.164771,3058.074822,17:58:57
7051.951951,265.640032,10.336861,1982.072625,7949.626850,75.525818,10.180061,3060.977077,17:58:57
7030.413153,265.571877,10.366354,1832.539058,8029.009293,75.491176,10.120047,2823.164421,17:58:58
7080.849737,265.666124,10.248169,1725.978032,7955.932160,75.529748,10.147741,2656.952437,17:58:58
7045.750033,265.667245,10.263386,2003.742440,7908.693140,75.560801,10.054721,3101.081969,17:58:59
7065.211641,265.665013,10.241423,2061.463802,7923.354078,75.438537,10.211764,3182.136220,17:58:59
7107.279362,265.676988,10.221242,1758.030465,7952.268372,75.421696,10.144898,2708.407244,17:58:59
5667.306028,265.092875,10.451907,1917.031747,7528.169676,77.038483,7.980429,3010.838037,17:59:00
7109.406439,265.618729,10.189307,1767.652552,7963.819792,75.489101,10.124805,2722.370028,17:59:00
7089.619980,265.591875,10.235375,1723.557352,8000.834588,75.481473,10.092344,2653.046537,17:59:01
7085.853834,265.652019,10.210061,1808.586670,7936.753898,75.531204,10.121499,2788.297187,17:59:01
6991.794962,265.631130,10.417322,1715.520675,8002.073699,75.530402,10.048575,2644.819625,17:59:01
6033.983052,265.358669,10.502472,2004.149781,7571.892166,76.422277,8.623750,3140.078367,17:59:02
7101.926257,265.619048,10.223003,1700.850280,7954.924220,75.537408,10.117671,2619.489794,17:59:03
7070.294417,265.629112,10.204706,1900.158765,7906.256634,75.434302,10.066659,2936.373465,17:59:03
7134.675287,265.607374,10.198958,1721.190562,7974.849178,75.495819,10.157142,2648.935548,17:59:03
7128.459189,265.611107,10.198293,1714.992034,7960.526770,75.446997,10.189343,2637.880233,17:59:04
7026.751805,265.637070,10.207756,1844.918095,7906.066757,75.485006,9.958800,2852.573607,17:59:05
7019.645505,265.639591,10.212719,1893.907218,7888.203340,75.502059,9.965401,2930.311371,17:59:05
7040.329719,265.677136,10.193502,1883.913450,7881.572930,75.443482,10.012710,2912.906588,17:59:05
7054.632283,265.608094,10.141779,1985.049717,7886.531808,75.503830,9.924412,3075.178176,17:59:06
7067.904310,265.641821,10.227233,1749.541651,7931.459879,75.432054,10.007169,2701.900643,17:59:07
7072.185542,265.646343,10.252450,1689.344490,7963.074156,75.441723,10.128172,2599.480066,17:59:07
7093.120782,265.606022,10.248084,1673.486308,7982.075712,75.525556,10.102563,2575.944022,17:59:07
7128.945242,265.619387,10.174232,1762.529132,7943.848112,75.603431,10.074256,2719.358284,17:59:08
7114.355111,265.603551,10.191781,1668.546875,7957.161546,75.501559,10.152345,2565.792407,17:59:09
7114.333630,265.610343,10.190139,1673.830995,7943.255825,75.489731,10.195481,2572.558494,17:59:09
7129.864410,265.637160,10.150494,1676.225492,7928.198884,75.444503,10.187684,2576.987393,17:59:09
7042.136691,265.581101,10.301824,1681.971464,7992.089252,75.496404,10.062457,2589.844942,17:59:10
7075.899836,265.580029,10.180379,1701.590292,7937.259485,75.475122,10.135819,2616.782689,17:59:10
7069.187581,265.622347,10.126873,1804.760969,7951.606489,75.462907,10.226141,2769.632147,17:59:11
7100.825552,265.596760,10.098795,1792.530539,7967.885874,75.434229,10.222004,2750.293451,17:59:11
7079.287117,265.620093,10.072082,1799.839700,7945.094198,75.432946,10.225430,2760.337294,17:59:11
7083.930998,265.684080,10.098354,1726.173596,7958.622645,75.461560,10.262417,2642.952268,17:59:12
7088.653855,265.634421,10.160319,1629.061397,7998.245620,75.489235,10.270729,2490.220471,17:59:12
7129.843615,265.621959,10.199487,1790.002152,7997.536247,75.429617,10.378557,2742.361524,17:59:12
7066.821392,265.604495,10.309109,1792.213742,8025.952004,75.491595,10.308340,2748.751521,17:59:13
7045.342146,265.610377,10.302506,1782.205740,8026.014412,75.416141,10.262748,2733.708277,17:59:13
7085.793242,265.580381,10.279233,1773.478195,8018.972940,75.453656,10.272748,2721.744937,17:59:13
7124.094812,265.604302,10.141782,1767.355215,7956.065586,75.455367,10.324604,2709.552952,17:59:14
7132.760204,265.597287,10.148049,1770.154712,7969.127982,75.451140,10.329209,2713.675539,17:59:14
7086.564396,265.586512,10.231426,1763.148596,8000.281100,75.456873,10.313541,2702.109233,17:59:14
7160.467143,265.607309,10.112469,1771.678678,7972.708158,75.452202,10.345684,2715.042925,17:59:15
7096.982222,265.619479,10.177663,1769.316233,7978.240735,75.445555,10.297857,2712.378469,17:59:15
7079.719646,265.591588,10.220014,1776.399475,7992.556118,75.458637,10.275897,2724.631788,17:59:16
7073.918687,265.603349,10.271435,1788.546219,8013.841058,75.424697,10.292072,2743.429211,17:59:16
7057.690808,265.615311,10.259528,1791.591524,7979.264499,75.421199,10.314897,2747.662596,17:59:16
7080.648364,265.606406,10.229732,1791.962523,7985.705926,75.423941,10.321910,2747.535402,17:59:17
7047.466993,265.576980,10.291165,1788.041322,7995.916425,75.417489,10.290193,2743.120272,17:59:17
7112.849380,265.595083,10.235863,1766.761604,8014.091903,75.449289,10.309819,2709.160102,17:59:17
7141.573359,265.595631,10.158896,1760.207236,7999.720755,75.469644,10.333183,2696.706548,17:59:18
7073.123380,265.595793,10.259201,1748.452091,7998.527714,75.472272,10.280045,2681.486022,17:59:18
7094.971847,265.581876,10.249712,1747.973016,7989.676909,75.447673,10.307020,2680.966616,17:59:18
7059.866169,265.595298,10.287978,1746.501490,8007.805323,75.471220,10.288247,2677.734117,17:59:19
7061.225838,265.610271,10.258196,1745.261782,7983.457321,75.458815,10.270891,2677.183262,17:59:19
7083.731548,265.632159,10.221829,1746.424300,7965.872637,75.481842,10.288353,2679.120044,17:59:19
7098.505351,265.620046,10.251189,1759.247032,7994.208324,75.473871,10.310513,2698.506443,17:59:20
7092.616883,265.597633,10.248719,1766.038836,8003.922235,75.466786,10.285003,2709.385054,17:59:20
7089.439588,265.591659,10.257081,1767.936332,8006.432343,75.467775,10.274919,2712.964324,17:59:21
7090.291598,265.557526,10.274034,1770.354202,8023.735322,75.436277,10.262246,2717.153342,17:59:21
7048.167934,265.579145,10.361498,1768.998532,8036.338129,75.456238,10.249880,2716.136527,17:59:21
7062.006221,265.562935,10.329984,1771.590536,8008.627604,75.452563,10.289257,2719.413051,17:59:22
7075.555597,265.562777,10.318781,1762.187977,8023.240339,75.470573,10.280662,2704.465256,17:59:22
7042.371855,265.589154,10.333710,1755.655589,8018.695134,75.446595,10.244385,2694.913716,17:59:22
7059.178488,265.592532,10.314034,1747.648716,8003.971056,75.412237,10.271068,2682.109652,17:59:23
7036.990345,265.589250,10.307280,1747.640540,8001.545610,75.447376,10.243243,2681.887406,17:59:23
7055.733941,265.587973,10.303884,1747.835952,8019.804942,75.453195,10.267733,2680.638976,17:59:23
7044.606378,265.573233,10.330631,1747.141304,8011.708508,75.455884,10.251076,2681.654885,17:59:24
7072.721171,265.632796,10.264894,1754.772270,7991.576210,75.410369,10.299218,2691.101096,17:59:24
7065.561111,265.588212,10.312212,1762.068334,8009.236032,75.445392,10.307047,2702.701399,17:59:24
7061.691818,265.569012,10.349532,1770.200114,8041.183828,75.483359,10.288621,2715.807864,17:59:25
7083.179002,265.593037,10.306249,1771.133044,8017.296879,75.407357,10.309763,2717.218430,17:59:25
7100.492641,265.630966,10.228478,1772.530147,7972.248794,75.402245,10.336055,2718.553111,17:59:26
7063.692392,265.596880,10.330581,1765.855243,8013.876270,75.506350,10.270337,2711.253359,17:59:26
7102.469232,265.611777,10.250385,1767.028563,7977.796333,75.484074,10.345939,2710.182665,17:59:26
7095.884931,265.576556,10.304613,1764.225415,8023.841806,75.467134,10.333492,2705.341084,17:59:27
7114.941452,265.567164,10.288181,1759.316973,8029.474273,75.438076,10.335671,2697.643663,17:59:27
7106.467445,265.620112,10.234211,1751.705840,7982.902088,75.447572,10.338170,2685.597800,17:59:27
7095.626649,265.589213,10.302116,1750.694469,8029.944795,75.480294,10.322080,2684.106020,17:59:28
7076.305695,265.551534,10.362059,1756.970424,8050.156164,75.435830,10.346953,2692.648302,17:59:28
7097.321640,265.586633,10.293299,1758.918342,8038.321074,75.471707,10.340556,2695.013852,17:59:28
7101.844629,265.637842,10.225289,1765.362517,7986.253900,75.440002,10.326194,2706.729405,17:59:29
7080.524481,265.601603,10.345745,1776.656008,8039.723564,75.493423,10.338127,2724.406885,17:59:29
7054.173884,265.624140,10.307355,1777.903928,8042.005422,75.482216,10.259227,2726.861138,17:59:29
7059.437873,265.588387,10.301764,1767.684599,8035.055953,75.538106,10.200713,2714.819002,17:59:30
7123.806783,265.635085,10.240777,1774.017215,7998.283256,75.494328,10.339967,2721.080129,17:59:30
7066.776576,265.623859,10.343876,1774.975053,8010.974722,75.503806,10.331801,2723.159427,17:59:30
7100.920756,265.630646,10.238287,1766.321262,7998.025385,75.528771,10.326204,2707.956500,17:59:31
7121.864864,265.601469,10.256468,1763.931756,8015.189241,75.481411,10.346166,2704.244426,17:59:31
7136.656781,265.601896,10.250748,1761.662078,8002.089246,75.449488,10.401294,2699.258066,17:59:32
7103.139272,265.599206,10.255009,1755.613484,8014.324560,75.461871,10.322350,2691.134441,17:59:32
7173.411172,265.599625,10.141943,1751.606393,7990.630712,75.481963,10.366180,2683.403851,17:59:32
7169.269703,265.650163,10.097630,1749.128657,7961.204582,75.494832,10.320342,2681.758266,17:59:33
7043.870392,265.648148,10.300752,1753.267641,7972.501673,75.483109,10.269466,2691.566768,17:59:33
7071.089831,265.679044,10.314076,1764.338086,7983.012551,75.437991,10.307739,2708.706686,17:59:34
7101.946380,265.667048,10.225942,1772.159247,7960.734993,75.418758,10.374703,2716.576133,17:59:34
7094.732739,265.636647,10.217029,1769.559822,7957.850051,75.434386,10.319454,2714.901237,17:59:34
7045.249770,265.598412,10.350026,1773.680447,8027.001707,75.439722,10.284277,2721.387522,17:59:35
7068.363102,265.600523,10.315324,1779.455835,8005.001405,75.440772,10.347152,2728.420018,17:59:35
7030.875612,265.610695,10.389092,1768.091516,8008.186359,75.476243,10.306964,2713.592250,17:59:35
7030.871335,265.603941,10.368274,1761.712643,7997.853656,75.512254,10.310394,2703.064090,17:59:36
7086.557155,265.613703,10.301527,1758.134613,8001.158578,75.459769,10.343638,2696.011410,17:59:36
7103.709927,265.636260,10.215692,1776.649076,7974.982636,75.430726,10.259672,2728.834299,17:59:43
7111.079178,265.585743,10.251513,1786.878434,7994.243194,75.435919,10.317627,2742.529223,17:59:45
7108.957834,265.589040,10.260988,1792.571560,8004.845275,75.475018,10.343835,2749.501636,17:59:55
7079.601798,265.607883,10.307433,1792.196793,8012.472398,75.469684,10.302528,2750.943470,17:59:57
7079.601798,265.607883,10.307433,1792.196793,8012.472398,75.469684,10.302528,2750.943470,17:59:57
7091.149205,265.601917,10.272098,1781.038343,8035.393917,75.467093,10.302549,2730.710392,17:59:58
7105.925794,265.615052,10.220791,1769.663792,8000.238412,75.439485,10.308717,2713.536216,17:59:58
7109.865640,265.609351,10.219169,1775.426977,8014.953665,75.455915,10.355914,2718.965119,17:59:58
7088.551247,265.603795,10.256034,1770.257447,8011.818105,75.464741,10.344412,2712.050683,17:59:59